run	p1	base number	fraction	repetition	p2	n1	n2	trial
3	1.0	10	1.9828515459989777	2	0.55	10	19	46
3	1.0	20	2.7699044825526067	1	0.55	20	55	47
3	1.0	7	1.7737755707638132	2	0.55	7	12	48
3	1.0	10	2.7699044825526067	1	0.55	10	27	49
3	1.0	20	2.7699044825526067	2	0.55	20	55	50
3	0.55	10	2.4778400150101443	2	1.0	24	10	51
3	0.55	14	3.096394761561559	2	1.0	43	14	52
3	0.55	10	1.7737755707638132	2	1.0	17	10	53
3	0.55	28	2.4778400150101443	1	1.0	69	28	54
3	0.55	7	1.7737755707638132	1	1.0	12	7	55
3	0.55	28	2.7699044825526067	2	1.0	77	28	56
3	0.55	7	2.2165714300470887	1	1.0	15	7	57
3	0.55	14	1.7737755707638132	1	1.0	24	14	58
3	0.55	14	2.7699044825526067	1	1.0	38	14	59
3	0.55	20	1.9828515459989777	2	1.0	39	20	60
4	1.0	7	1.9828515459989777	1	0.55	7	13	61
4	1.0	14	2.7699044825526067	1	0.55	14	38	62
4	1.0	20	2.4778400150101443	2	0.55	20	49	63
4	1.0	20	1.7737755707638132	1	0.55	20	35	64
4	1.0	28	1.7737755707638132	1	0.55	28	49	65
4	1.0	10	2.2165714300470887	2	0.55	10	22	66
4	1.0	14	3.096394761561559	1	0.55	14	43	67
4	1.0	14	2.4778400150101443	2	0.55	14	34	68
4	1.0	20	3.096394761561559	2	0.55	20	61	69
4	1.0	7	2.4778400150101443	1	0.55	7	17	70
4	0.55	10	1.9828515459989777	2	1.0	19	10	71
4	0.55	28	2.7699044825526067	1	1.0	77	28	72
4	0.55	20	2.2165714300470887	2	1.0	44	20	73
4	0.55	14	1.9828515459989777	2	1.0	27	14	74
4	0.55	7	3.096394761561559	1	1.0	21	7	75
4	0.55	10	1.7737755707638132	1	1.0	17	10	76
4	0.55	20	2.7699044825526067	2	1.0	55	20	77
4	0.55	28	2.2165714300470887	1	1.0	62	28	78
4	0.55	10	2.4778400150101443	1	1.0	24	10	79
4	0.55	14	1.7737755707638132	2	1.0	24	14	80
5	1.0	20	1.9828515459989777	1	0.55	20	39	81
5	1.0	14	2.4778400150101443	1	0.55	14	34	82
5	1.0	14	1.7737755707638132	1	0.55	14	24	83
5	1.0	20	2.2165714300470887	2	0.55	20	44	84
5	1.0	10	1.7737755707638132	1	0.55	10	17	85
5	1.0	28	2.2165714300470887	1	0.55	28	62	86
5	1.0	10	2.2165714300470887	1	0.55	10	22	87
5	1.0	20	2.4778400150101443	1	0.55	20	49	88
5	1.0	28	2.7699044825526067	2	0.55	28	77	89
5	1.0	28	1.9828515459989777	1	0.55	28	55	90
5	0.55	7	2.4778400150101443	2	1.0	17	7	91
5	0.55	7	2.2165714300470887	2	1.0	15	7	92
5	0.55	10	2.7699044825526067	2	1.0	27	10	93
5	0.55	20	2.4778400150101443	2	1.0	49	20	94
5	0.55	14	2.7699044825526067	2	1.0	38	14	95
5	0.55	20	1.7737755707638132	1	1.0	35	20	96
5	0.55	28	1.9828515459989777	1	1.0	55	28	97
5	0.55	20	3.096394761561559	2	1.0	61	20	98
5	0.55	7	2.7699044825526067	2	1.0	19	7	99
5	0.55	28	2.2165714300470887	2	1.0	62	28	100
6	0.55	14	3.096394761561559	1	1.0	43	14	101
6	0.55	20	3.096394761561559	1	1.0	61	20	102
6	0.55	14	1.9828515459989777	1	1.0	27	14	103
6	0.55	20	2.7699044825526067	1	1.0	55	20	104
6	0.55	14	2.4778400150101443	2	1.0	34	14	105
6	0.55	14	2.2165714300470887	2	1.0	31	14	106
6	0.55	28	1.9828515459989777	2	1.0	55	28	107
6	0.55	20	2.4778400150101443	1	1.0	49	20	108
6	0.55	10	2.2165714300470887	2	1.0	22	10	109
6	0.55	7	1.9828515459989777	2	1.0	13	7	110
6	1.0	28	2.7699044825526067	1	0.55	28	77	111
6	1.0	10	3.096394761561559	2	0.55	10	30	112
6	1.0	7	2.7699044825526067	2	0.55	7	19	113
6	1.0	14	1.9828515459989777	2	0.55	14	27	114
6	1.0	20	1.7737755707638132	2	0.55	20	35	115
6	1.0	10	3.096394761561559	1	0.55	10	30	116
6	1.0	10	2.4778400150101443	1	0.55	10	24	117
6	1.0	14	3.096394761561559	2	0.55	14	43	118
6	1.0	7	1.9828515459989777	2	0.55	7	13	119
6	1.0	28	2.4778400150101443	1	0.55	28	69	120
